Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date	Begin Hour	Begin Path	Begin File	File Offset (s)	Delta Time (s)	SNR NIST Quick (dB)	Tag	Notes	VF2
653	Spectrogram 1	12	251726.060000000	251728.270000000	76.300	309.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	626.0600	2.2100	16.73	NARW		v
654	Spectrogram 1	12	251731.560000000	251732.600000000	47.100	330.000		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	631.5600	1.0400	18.53	NARW		v
655	Spectrogram 1	12	251749.670000000	251751.540000000	76.300	248.100		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	649.6700	1.8700	15.02	NARW		v
656	Spectrogram 1	7	251754.140000000	251756.800000000	64.900	240.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	654.1400	2.6600	16.44	NARW		v
657	Spectrogram 1	11	251755.550000000	251759.180000000	64.900	267.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	655.5500	3.6300	15.58	NARW		v
658	Spectrogram 1	8	251756.400000000	251758.840000000	49.600	255.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	656.4000	2.4400	17.02	NARW		v
659	Spectrogram 1	6	251759.860000000	251762.010000000	53.400	263.400		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	659.8600	2.1500	20.28	NARW		v
660	Spectrogram 1	4	251760.590000000	251762.910000000	64.900	244.300		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	660.5900	2.3200	16.42	NARW		v
661	Spectrogram 1	3	251763.930000000	251765.740000000	80.200	206.100		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	663.9300	1.8100	14.35	NARW		v
662	Spectrogram 1	7	251822.680000000	251824.890000000	61.100	232.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	722.6800	2.2100	15.94	NARW		v
663	Spectrogram 1	11	251824.380000000	251826.590000000	72.500	209.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	724.3800	2.2100	15.75	NARW		v
664	Spectrogram 1	8	251824.840000000	251827.210000000	80.200	229.000		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	724.8400	2.3700	15.40	NARW		v
665	Spectrogram 1	6	251828.060000000	251830.100000000	68.700	202.300		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	728.0600	2.0400	17.15	NARW		v
666	Spectrogram 1	4	251828.630000000	251830.840000000	95.400	206.100		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	728.6300	2.2100	15.33	NARW		v
667	Spectrogram 1	12	251830.720000000	251832.230000000	9.600	296.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	730.7200	1.5100	23.12	NARW		v
668	Spectrogram 1	3	251832.420000000	251834.400000000	64.900	198.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	732.4200	1.9800	14.94	NARW		v
669	Spectrogram 1	9	251832.820000000	251835.480000000	106.900	309.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	732.8200	2.6600	15.60	NARW		v
670	Spectrogram 1	12	251837.120000000	251839.500000000	57.300	271.000		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	737.1200	2.3800	16.62	NARW		v
671	Spectrogram 1	7	251853.250000000	251855.230000000	61.100	229.000		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	753.2500	1.9800	16.39	NARW		v
672	Spectrogram 1	8	251853.990000000	251856.020000000	91.600	213.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	753.9900	2.0300	15.02	NARW		v
673	Spectrogram 1	11	251854.720000000	251856.650000000	68.700	221.400		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	754.7200	1.9300	13.39	NARW		v
674	Spectrogram 1	6	251858.630000000	251860.660000000	42.000	255.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	758.6300	2.0300	19.02	NARW		v
675	Spectrogram 1	12	251872.610000000	251874.870000000	68.700	248.100		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	772.6100	2.2600	15.40	NARW		v
676	Spectrogram 1	12	251896.270000000	251898.990000000	49.600	217.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	796.2700	2.7200	16.39	NARW		v
677	Spectrogram 1	7	251896.330000000	251898.420000000	68.700	240.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	796.3300	2.0900	15.11	NARW		v
678	Spectrogram 1	8	251896.950000000	251899.550000000	61.100	251.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	796.9500	2.6000	17.12	NARW		v
679	Spectrogram 1	11	251897.570000000	251900.170000000	68.700	263.400		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	797.5700	2.6000	14.98	NARW		v
680	Spectrogram 1	9	251897.850000000	251899.890000000	61.100	198.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	797.8500	2.0400	12.83	NARW		v
681	Spectrogram 1	7	251900.510000000	251902.720000000	45.800	236.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	800.5100	2.2100	18.21	NARW		v
682	Spectrogram 1	8	251901.310000000	251903.630000000	38.200	232.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	801.3100	2.3200	18.96	NARW		v
683	Spectrogram 1	6	251901.590000000	251904.310000000	72.500	251.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	801.5900	2.7200	17.61	NARW		v
684	Spectrogram 1	11	251901.870000000	251904.250000000	53.400	267.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	801.8700	2.3800	15.57	NARW		v
685	Spectrogram 1	12	251901.870000000	251904.420000000	61.100	251.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	801.8700	2.5500	16.40	NARW		v
686	Spectrogram 1	7	251910.140000000	251912.290000000	72.500	267.200		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	810.1400	2.1500	15.38	NARW	?	v
687	Spectrogram 1	7	251933.290000000	251936.000000000	57.300	198.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	833.2900	2.7100	16.43	NARW		v
688	Spectrogram 1	8	251934.140000000	251936.970000000	57.300	179.400		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	834.1400	2.8300	15.06	NARW		v
689	Spectrogram 1	9	251934.250000000	251937.360000000	68.700	190.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	834.2500	3.1100	12.87	NARW		v
690	Spectrogram 1	11	251934.420000000	251937.190000000	53.400	209.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	834.4200	2.7700	15.04	NARW		v
691	Spectrogram 1	6	251938.720000000	251941.270000000	80.200	194.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	838.7200	2.5500	16.10	NARW		v
692	Spectrogram 1	4	251939.170000000	251941.150000000	61.100	175.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	839.1700	1.9800	15.48	NARW		v
693	Spectrogram 1	7	251942.510000000	251945.230000000	57.300	251.900		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	842.5100	2.7200	16.07	NARW		v
694	Spectrogram 1	8	251943.760000000	251946.250000000	68.700	232.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	843.7600	2.4900	14.49	NARW		v
695	Spectrogram 1	9	251944.320000000	251946.640000000	49.600	206.100		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	844.3200	2.3200	14.93	NARW		v
696	Spectrogram 1	11	251944.490000000	251946.700000000	80.200	232.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	844.4900	2.2100	13.00	NARW		v
697	Spectrogram 1	7	251953.150000000	251955.470000000	91.600	278.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	853.1500	2.3200	14.45	NARW		v
698	Spectrogram 1	11	251954.570000000	251957.000000000	72.500	244.300		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	854.5700	2.4300	15.82	NARW		v
699	Spectrogram 1	8	251955.810000000	251957.630000000	91.600	240.500		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	855.8100	1.8200	15.40	NARW		v
700	Spectrogram 1	6	251958.530000000	251960.630000000	80.200	232.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	858.5300	2.1000	16.85	NARW		v
701	Spectrogram 1	4	251959.100000000	251961.760000000	64.900	236.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	859.1000	2.6600	16.72	NARW		v
702	Spectrogram 1	12	251959.320000000	251961.250000000	34.400	236.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	859.3200	1.9300	18.30	NARW		v
703	Spectrogram 1	3	251963.290000000	251964.280000000	30.000	233.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	863.2900	0.9900	15.94	NARW		v
704	Spectrogram 1	12	251966.400000000	251968.890000000	49.600	274.800		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	866.4000	2.4900	17.07	NARW		v
705	Spectrogram 1	12	251982.250000000	251984.400000000	68.700	278.600		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	882.2500	2.1500	15.30	NARW		v
706	Spectrogram 1	12	251984.510000000	251987.000000000	61.100	255.700		69	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_214500Z.aif	71485MD03_002K_M12_multi_20160128_214500Z.aif	884.5100	2.4900	16.11	NARW		v
707	Spectrogram 1	7	252009.250000000	252011.680000000	53.400	236.600		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	9.2500	2.4300	16.92	NARW		v
708	Spectrogram 1	9	252011.000000000	252012.420000000	41.900	227.700		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	11.0000	1.4200	15.93	NARW		v
709	Spectrogram 1	11	252011.120000000	252013.320000000	68.700	202.300		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	11.1200	2.2000	15.39	NARW		v
710	Spectrogram 1	8	252011.740000000	252013.950000000	61.100	202.300		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	11.7400	2.2100	15.67	NARW		v
711	Spectrogram 1	12	252012.000000000	252013.000000000	47.800	286.700		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	12.0000	1.0000	17.67	NARW		v
712	Spectrogram 1	6	252014.230000000	252016.320000000	49.600	209.900		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	14.2300	2.0900	19.27	NARW		v
713	Spectrogram 1	4	252015.360000000	252017.570000000	45.800	202.300		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	15.3600	2.2100	16.31	NARW		v
714	Spectrogram 1	3	252018.980000000	252020.910000000	53.400	217.600		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	18.9800	1.9300	17.28	NARW		v
715	Spectrogram 1	9	252019.040000000	252020.910000000	57.300	271.000		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	19.0400	1.8700	17.19	NARW		v
716	Spectrogram 1	8	252022.490000000	252024.360000000	68.700	259.500		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	22.4900	1.8700	15.47	NARW		v
717	Spectrogram 1	12	252027.980000000	252030.190000000	61.100	286.300		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	27.9800	2.2100	16.60	NARW		v
718	Spectrogram 1	7	252055.720000000	252058.270000000	64.900	248.100		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	55.7200	2.5500	15.25	NARW		v
719	Spectrogram 1	8	252056.910000000	252059.230000000	72.500	236.600		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	56.9100	2.3200	14.33	NARW		v
720	Spectrogram 1	9	252056.910000000	252059.000000000	64.900	202.300		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	56.9100	2.0900	13.47	NARW		v
721	Spectrogram 1	11	252057.680000000	252058.660000000	47.900	227.700		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	57.6800	0.9800	17.48	NARW		v
722	Spectrogram 1	8	252060.300000000	252062.620000000	72.500	236.600		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	60.3000	2.3200	14.02	NARW		v
723	Spectrogram 1	7	252061.270000000	252063.130000000	53.400	225.200		70	/Volumes/ag-clo-repnas5.ad.cornell.edu-1/projects/2013_UnivMD_Maryland_71485/Sounds/71485_MD03_002K_12CH_AIFF/002K_12CH_20160128/71485MD03_002K_M12_multi_20160128_220000Z.aif	71485MD03_002K_M12_multi_20160128_220000Z.aif	61.2700	1.8600	16.12	NARW		v
